percent_change,city,2012_prescribing_rate,2018_prescribing_rate,non-va_prescribing_rate,state_full,state_postal
-44,Albuquerque,0.23443870000000003,0.1307292,Average,New Mexico,NM
-61,Fayetteville,0.22321710000000003,0.08748389999999999,Average,Arkansas,AR
-50,Wichita,0.1980116,0.09802960000000001,Average,Kansas,KS
-40,Sheridan,0.1394921,0.0835028,Average,Wyoming,WY
-49,Detroit,0.257321,0.13032760000000002,High,Michigan,MI
-46,Dublin,0.23657150000000002,0.1283289,Average,Georgia,GA
-31,Martinsburg,0.0567668,0.039413199999999995,Average,West Virginia,WV
-54,Gainesville,0.147369,0.0677267,Low,Florida,FL
-34,Spokane,0.25814349999999997,0.1693665,High,Washington,WA
-51,Asheville,0.2620034,0.1276864,Average,North Carolina,NC
-53,Anchorage,0.1739341,0.08147889999999999,High,Alaska,AK
-26,Butler,0.08546160000000001,0.0630788,Low,Pennsylvania,PA
-62,Houston,0.12055419999999999,0.045474,Low,Texas,TX
-25,Pittsburgh,0.1531752,0.1142088,Low,Pennsylvania,PA
-44,Nashville,0.2361592,0.1320333,High,Tennessee,TN
-47,Cincinnati,0.20464549999999998,0.1083778,Low,Ohio,OH
-52,Hampton,0.1526019,0.0733095,Low,Virginia,VA
-29,North Chicago,0.10962550000000001,0.07746289999999999,Low,Illinois,IL
-51,Wilmington,0.13366270000000002,0.0654666,Low,Delaware,DE
-56,San Antonio,0.171434,0.0752471,Low,Texas,TX
-49,Portland,0.24775940000000002,0.12681789999999998,High,Oregon,OR
-38,Bedford,0.0614881,0.03797469999999999,Low,Massachusetts,MA
-69,Fayetteville,0.21279070000000003,0.0668859,Average,North Carolina,NC
-56,Poplar Bluff,0.21004570000000003,0.0921677,Average,Missouri,MO
-39,Fort Meade,0.15255139999999998,0.0936058,Low,South Dakota,SD
-51,Marion,0.2187634,0.10672349999999999,High,Indiana,IN
-40,West Palm Beach,0.10177810000000001,0.0606604,Low,Florida,FL
-38,St. Cloud,0.0830302,0.0512453,Low,Minnesota,MN
-45,Montrose,0.1054203,0.0575809,Low,New York,NY
-44,Long Beach,0.18106429999999998,0.1022063,Low,California,CA
-64,Battle Creek,0.23160219999999998,0.0839822,High,Michigan,MI
-46,San Francisco,0.23002110000000003,0.12465050000000001,Low,California,CA
-42,Augusta,0.2395551,0.13807779999999997,Average,Georgia,GA
-46,Cheyenne,0.1873096,0.1008048,Average,Wyoming,WY
-55,Lincoln,0.10695930000000001,0.048650900000000004,Low,Nebraska,NE
-52,Huntington,0.21743110000000002,0.10345710000000001,Average,West Virginia,WV
-51,New York,0.0847011,0.0415379,Low,New York,NY
-62,Atlanta,0.1637429,0.0621568,Average,Georgia,GA
-44,Minneapolis,0.1413769,0.079329,Low,Minnesota,MN
-32,Leavenworth,0.151075,0.10347730000000001,Average,Kansas,KS
-28,Hot Springs,0.1423703,0.1027094,Low,South Dakota,SD
-43,Philadelphia,0.11229080000000001,0.063885,Low,Pennsylvania,PA
-28,East Orange,0.05792130000000001,0.04189,Low,New Jersey,NJ
-47,Dallas,0.19814120000000002,0.10541589999999999,Low,Texas,TX
-54,Little Rock,0.23596220000000004,0.1080113,Average,Arkansas,AR
-40,Providence,0.1111837,0.06693560000000001,Low,Rhode Island,RI
-38,Boston,0.108022,0.0673802,Low,Massachusetts,MA
-39,Canandaigua,0.0994445,0.06036230000000001,Low,New York,NY
-47,New Orleans,0.1689434,0.0889794,Average,Louisiana,LA
-56,Walla Walla,0.1690703,0.07487669999999999,High,Washington,WA
-52,Chillicothe,0.21511100000000002,0.10326010000000001,Low,Ohio,OH
-59,Phoenix,0.20869570000000004,0.0860444,High,Arizona,AZ
-40,Hines,0.14373350000000001,0.0867702,Low,Illinois,IL
-55,Washington,0.1246257,0.0560427,High,District of Columbia,DC
-35,Fort Harrison,0.1964146,0.1268776,Average,Montana,MT
-28,Shreveport,0.1807985,0.1300078,Average,Louisiana,LA
