Year,Gender,Race,Deaths,State,Population,Crude Rate,Dispensed Prescription
1999,Female,Black or African American,10,Alabama,4430141,0.9,116
1999,Female,Black or African American,10,Alabama,4430141,0.9,116
2003,Female,Black or African American,13,Alabama,4503491,1.2,149
2003,Female,Black or African American,13,Alabama,4503491,1.2,149
2004,Female,Black or African American,11,Alabama,4530729,2,155
2004,Female,Black or African American,11,Alabama,4530729,2,155
2007,Female,Black or African American,18,Alabama,4672840,3.7,184
2007,Female,Black or African American,18,Alabama,4672840,3.7,184
2008,Female,Black or African American,17,Alabama,4718206,4.1,196
2008,Female,Black or African American,17,Alabama,4718206,4.1,196
2009,Female,Black or African American,19,Alabama,4757938,4.4,202
2009,Female,Black or African American,19,Alabama,4757938,4.4,202
2010,Female,Black or African American,14,Alabama,4779736,4.1,210
2010,Female,Black or African American,14,Alabama,4779736,4.1,210
2011,Female,Black or African American,10,Alabama,4802740,3.7,219
2011,Female,Black or African American,10,Alabama,4802740,3.7,219
2012,Female,Black or African American,16,Alabama,4822023,3.6,217
2012,Female,Black or African American,16,Alabama,4822023,3.6,217
2013,Female,Black or African American,21,Alabama,4833722,3.6,207
2013,Female,Black or African American,21,Alabama,4833722,3.6,207
2014,Female,Black or African American,24,Alabama,4849377,5.8,196
2014,Female,Black or African American,24,Alabama,4849377,5.8,196
1999,Female,White,41,Alabama,4430141,0.9,116
1999,Female,White,41,Alabama,4430141,0.9,116
1999,Female,White,16,Alabama,4430141,0.9,116
1999,Female,White,16,Alabama,4430141,0.9,116
2000,Female,White,49,Alabama,4447100,1,126
2000,Female,White,49,Alabama,4447100,1,126
2000,Female,White,26,Alabama,4447100,1,126
2000,Female,White,26,Alabama,4447100,1,126
2001,Female,White,63,Alabama,4467634,1.5,138
2001,Female,White,63,Alabama,4467634,1.5,138
2001,Female,White,20,Alabama,4467634,1.5,138
2001,Female,White,20,Alabama,4467634,1.5,138
2002,Female,White,61,Alabama,4480089,1.7,142
2002,Female,White,61,Alabama,4480089,1.7,142
2002,Female,White,17,Alabama,4480089,1.7,142
2002,Female,White,17,Alabama,4480089,1.7,142
2003,Female,White,46,Alabama,4503491,1.2,149
2003,Female,White,46,Alabama,4503491,1.2,149
2003,Female,White,11,Alabama,4503491,1.2,149
2003,Female,White,11,Alabama,4503491,1.2,149
2004,Female,White,73,Alabama,4530729,2,155
2004,Female,White,73,Alabama,4530729,2,155
2004,Female,White,20,Alabama,4530729,2,155
2004,Female,White,20,Alabama,4530729,2,155
2004,Female,White,12,Alabama,4530729,2,155
2004,Female,White,12,Alabama,4530729,2,155
2005,Female,White,66,Alabama,4569805,1.8,163
2005,Female,White,66,Alabama,4569805,1.8,163
2005,Female,White,12,Alabama,4569805,1.8,163
2005,Female,White,12,Alabama,4569805,1.8,163
2005,Female,White,12,Alabama,4569805,1.8,163
2005,Female,White,12,Alabama,4569805,1.8,163
2005,Female,White,15,Alabama,4569805,1.8,163
2005,Female,White,15,Alabama,4569805,1.8,163
2006,Female,White,113,Alabama,4628981,2.9,174
2006,Female,White,113,Alabama,4628981,2.9,174
2006,Female,White,19,Alabama,4628981,2.9,174
2006,Female,White,19,Alabama,4628981,2.9,174
2006,Female,White,19,Alabama,4628981,2.9,174
2006,Female,White,19,Alabama,4628981,2.9,174
2006,Female,White,10,Alabama,4628981,2.9,174
2006,Female,White,10,Alabama,4628981,2.9,174
2007,Female,White,154,Alabama,4672840,3.7,184
2007,Female,White,154,Alabama,4672840,3.7,184
2007,Female,White,26,Alabama,4672840,3.7,184
2007,Female,White,26,Alabama,4672840,3.7,184
2007,Female,White,15,Alabama,4672840,3.7,184
2007,Female,White,15,Alabama,4672840,3.7,184
2007,Female,White,12,Alabama,4672840,3.7,184
2007,Female,White,12,Alabama,4672840,3.7,184
2008,Female,White,201,Alabama,4718206,4.1,196
2008,Female,White,201,Alabama,4718206,4.1,196
2008,Female,White,28,Alabama,4718206,4.1,196
2008,Female,White,28,Alabama,4718206,4.1,196
2008,Female,White,34,Alabama,4718206,4.1,196
2008,Female,White,34,Alabama,4718206,4.1,196
2008,Female,White,11,Alabama,4718206,4.1,196
2008,Female,White,11,Alabama,4718206,4.1,196
2009,Female,White,223,Alabama,4757938,4.4,202
2009,Female,White,223,Alabama,4757938,4.4,202
2009,Female,White,26,Alabama,4757938,4.4,202
2009,Female,White,26,Alabama,4757938,4.4,202
2009,Female,White,19,Alabama,4757938,4.4,202
2009,Female,White,19,Alabama,4757938,4.4,202
2009,Female,White,16,Alabama,4757938,4.4,202
2009,Female,White,16,Alabama,4757938,4.4,202
2010,Female,White,186,Alabama,4779736,4.1,210
2010,Female,White,186,Alabama,4779736,4.1,210
2010,Female,White,27,Alabama,4779736,4.1,210
2010,Female,White,27,Alabama,4779736,4.1,210
2010,Female,White,10,Alabama,4779736,4.1,210
2010,Female,White,10,Alabama,4779736,4.1,210
2011,Female,White,201,Alabama,4802740,3.7,219
2011,Female,White,201,Alabama,4802740,3.7,219
2011,Female,White,17,Alabama,4802740,3.7,219
2011,Female,White,17,Alabama,4802740,3.7,219
2011,Female,White,15,Alabama,4802740,3.7,219
2011,Female,White,15,Alabama,4802740,3.7,219
2011,Female,White,11,Alabama,4802740,3.7,219
2011,Female,White,11,Alabama,4802740,3.7,219
2012,Female,White,178,Alabama,4822023,3.6,217
2012,Female,White,178,Alabama,4822023,3.6,217
2012,Female,White,20,Alabama,4822023,3.6,217
2012,Female,White,20,Alabama,4822023,3.6,217
2012,Female,White,10,Alabama,4822023,3.6,217
2012,Female,White,10,Alabama,4822023,3.6,217
2012,Female,White,16,Alabama,4822023,3.6,217
2012,Female,White,16,Alabama,4822023,3.6,217
2013,Female,White,193,Alabama,4833722,3.6,207
2013,Female,White,193,Alabama,4833722,3.6,207
2013,Female,White,24,Alabama,4833722,3.6,207
2013,Female,White,24,Alabama,4833722,3.6,207
2013,Female,White,16,Alabama,4833722,3.6,207
2013,Female,White,16,Alabama,4833722,3.6,207
2013,Female,White,11,Alabama,4833722,3.6,207
2013,Female,White,11,Alabama,4833722,3.6,207
2014,Female,White,252,Alabama,4849377,5.8,196
2014,Female,White,252,Alabama,4849377,5.8,196
2014,Female,White,29,Alabama,4849377,5.8,196
2014,Female,White,29,Alabama,4849377,5.8,196
2014,Female,White,17,Alabama,4849377,5.8,196
2014,Female,White,17,Alabama,4849377,5.8,196
2014,Female,White,21,Alabama,4849377,5.8,196
2014,Female,White,21,Alabama,4849377,5.8,196
1999,Male,Black or African American,17,Alabama,4430141,0.9,116
1999,Male,Black or African American,17,Alabama,4430141,0.9,116
2001,Male,Black or African American,17,Alabama,4467634,1.5,138
2001,Male,Black or African American,17,Alabama,4467634,1.5,138
2001,Male,Black or African American,12,Alabama,4467634,1.5,138
2001,Male,Black or African American,12,Alabama,4467634,1.5,138
2002,Male,Black or African American,10,Alabama,4480089,1.7,142
2002,Male,Black or African American,10,Alabama,4480089,1.7,142
2003,Male,Black or African American,16,Alabama,4503491,1.2,149
2003,Male,Black or African American,16,Alabama,4503491,1.2,149
2004,Male,Black or African American,15,Alabama,4530729,2,155
2004,Male,Black or African American,15,Alabama,4530729,2,155
2004,Male,Black or African American,11,Alabama,4530729,2,155
2004,Male,Black or African American,11,Alabama,4530729,2,155
2005,Male,Black or African American,15,Alabama,4569805,1.8,163
2005,Male,Black or African American,15,Alabama,4569805,1.8,163
2005,Male,Black or African American,15,Alabama,4569805,1.8,163
2005,Male,Black or African American,15,Alabama,4569805,1.8,163
2006,Male,Black or African American,22,Alabama,4628981,2.9,174
2006,Male,Black or African American,22,Alabama,4628981,2.9,174
2006,Male,Black or African American,17,Alabama,4628981,2.9,174
2006,Male,Black or African American,17,Alabama,4628981,2.9,174
2007,Male,Black or African American,27,Alabama,4672840,3.7,184
2007,Male,Black or African American,27,Alabama,4672840,3.7,184
2007,Male,Black or African American,14,Alabama,4672840,3.7,184
2007,Male,Black or African American,14,Alabama,4672840,3.7,184
2008,Male,Black or African American,19,Alabama,4718206,4.1,196
2008,Male,Black or African American,19,Alabama,4718206,4.1,196
2008,Male,Black or African American,11,Alabama,4718206,4.1,196
2008,Male,Black or African American,11,Alabama,4718206,4.1,196
2009,Male,Black or African American,24,Alabama,4757938,4.4,202
2009,Male,Black or African American,24,Alabama,4757938,4.4,202
2009,Male,Black or African American,11,Alabama,4757938,4.4,202
2009,Male,Black or African American,11,Alabama,4757938,4.4,202
2010,Male,Black or African American,19,Alabama,4779736,4.1,210
2010,Male,Black or African American,19,Alabama,4779736,4.1,210
2011,Male,Black or African American,21,Alabama,4802740,3.7,219
2011,Male,Black or African American,21,Alabama,4802740,3.7,219
2012,Male,Black or African American,17,Alabama,4822023,3.6,217
2012,Male,Black or African American,17,Alabama,4822023,3.6,217
2012,Male,Black or African American,13,Alabama,4822023,3.6,217
2012,Male,Black or African American,13,Alabama,4822023,3.6,217
2013,Male,Black or African American,27,Alabama,4833722,3.6,207
2013,Male,Black or African American,27,Alabama,4833722,3.6,207
2014,Male,Black or African American,34,Alabama,4849377,5.8,196
2014,Male,Black or African American,34,Alabama,4849377,5.8,196
2014,Male,Black or African American,14,Alabama,4849377,5.8,196
2014,Male,Black or African American,14,Alabama,4849377,5.8,196
1999,Male,White,48,Alabama,4430141,0.9,116
1999,Male,White,48,Alabama,4430141,0.9,116
1999,Male,White,17,Alabama,4430141,0.9,116
1999,Male,White,17,Alabama,4430141,0.9,116
1999,Male,White,13,Alabama,4430141,0.9,116
1999,Male,White,13,Alabama,4430141,0.9,116
2000,Male,White,66,Alabama,4447100,1,126
2000,Male,White,66,Alabama,4447100,1,126
2000,Male,White,20,Alabama,4447100,1,126
2000,Male,White,20,Alabama,4447100,1,126
