State,Gender,Race,Year,Deaths,Population
Alabama,Female,Black or African American,1999,10,623475
Alabama,Female,Black or African American,2003,13,636876
Alabama,Female,Black or African American,2004,11,641873
Alabama,Female,Black or African American,2007,18,664831
Alabama,Female,Black or African American,2008,17,673102
Alabama,Female,Black or African American,2009,19,678586
Alabama,Female,Black or African American,2010,14,682553
Alabama,Female,Black or African American,2011,10,690116
Alabama,Female,Black or African American,2012,16,694697
Alabama,Female,Black or African American,2013,21,697106
Alabama,Female,Black or African American,2014,24,702957
Alabama,Female,Black or African American,2015,26,707464
Alabama,Female,Black or African American,2016,26,708942
Alabama,Female,Black or African American,2016,10,708942
Alabama,Female,Black or African American,2017,32,712445
Alabama,Female,Black or African American,2018,33,715232
Alabama,Female,Black or African American,2018,17,715232
Alabama,Female,White,1999,41,1640665
Alabama,Female,White,1999,16,1640665
Alabama,Female,White,2000,49,1643179
Alabama,Female,White,2000,26,1643179
Alabama,Female,White,2001,63,1645541
Alabama,Female,White,2001,20,1645541
Alabama,Female,White,2002,61,1646445
Alabama,Female,White,2002,17,1646445
Alabama,Female,White,2003,46,1650890
Alabama,Female,White,2003,11,1650890
Alabama,Female,White,2004,73,1657539
Alabama,Female,White,2004,20,1657539
Alabama,Female,White,2004,12,1657539
Alabama,Female,White,2005,66,1668327
Alabama,Female,White,2005,12,1668327
Alabama,Female,White,2005,12,1668327
Alabama,Female,White,2005,15,1668327
Alabama,Female,White,2006,113,1685050
Alabama,Female,White,2006,19,1685050
Alabama,Female,White,2006,19,1685050
Alabama,Female,White,2006,10,1685050
Alabama,Female,White,2007,154,1697518
Alabama,Female,White,2007,26,1697518
Alabama,Female,White,2007,15,1697518
Alabama,Female,White,2007,12,1697518
Alabama,Female,White,2008,201,1710122
Alabama,Female,White,2008,28,1710122
Alabama,Female,White,2008,34,1710122
Alabama,Female,White,2008,11,1710122
Alabama,Female,White,2009,223,1720115
Alabama,Female,White,2009,26,1720115
Alabama,Female,White,2009,19,1720115
Alabama,Female,White,2009,16,1720115
Alabama,Female,White,2010,186,1725848
Alabama,Female,White,2010,27,1725848
Alabama,Female,White,2010,10,1725848
Alabama,Female,White,2011,201,1730480
Alabama,Female,White,2011,17,1730480
Alabama,Female,White,2011,15,1730480
Alabama,Female,White,2011,11,1730480
Alabama,Female,White,2012,178,1734362
Alabama,Female,White,2012,20,1734362
Alabama,Female,White,2012,10,1734362
Alabama,Female,White,2012,16,1734362
Alabama,Female,White,2013,193,1735584
Alabama,Female,White,2013,24,1735584
Alabama,Female,White,2013,16,1735584
Alabama,Female,White,2013,11,1735584
Alabama,Female,White,2014,252,1738779
Alabama,Female,White,2014,29,1738779
Alabama,Female,White,2014,17,1738779
Alabama,Female,White,2014,21,1738779
Alabama,Female,White,2015,233,1738989
Alabama,Female,White,2015,23,1738989
Alabama,Female,White,2015,18,1738989
Alabama,Female,White,2015,24,1738989
Alabama,Female,White,2016,234,1738363
Alabama,Female,White,2016,25,1738363
Alabama,Female,White,2016,13,1738363
Alabama,Female,White,2016,20,1738363
Alabama,Female,White,2017,229,1740455
Alabama,Female,White,2017,24,1740455
Alabama,Female,White,2017,23,1740455
Alabama,Female,White,2017,36,1740455
Alabama,Female,White,2018,230,1745200
Alabama,Female,White,2018,29,1745200
Alabama,Female,White,2018,13,1745200
Alabama,Female,White,2018,28,1745200
Alabama,Male,Black or African American,1999,17,539198
Alabama,Male,Black or African American,2001,17,546578
Alabama,Male,Black or African American,2001,12,546578
Alabama,Male,Black or African American,2002,10,549217
Alabama,Male,Black or African American,2003,16,553307
Alabama,Male,Black or African American,2004,15,557319
Alabama,Male,Black or African American,2004,11,557319
Alabama,Male,Black or African American,2005,15,563308
Alabama,Male,Black or African American,2005,15,563308
Alabama,Male,Black or African American,2006,22,572880
Alabama,Male,Black or African American,2006,17,572880
Alabama,Male,Black or African American,2007,27,579036
Alabama,Male,Black or African American,2007,14,579036
Alabama,Male,Black or African American,2008,19,586075
Alabama,Male,Black or African American,2008,11,586075
Alabama,Male,Black or African American,2009,24,592661
Alabama,Male,Black or African American,2009,11,592661
Alabama,Male,Black or African American,2010,19,596519
Alabama,Male,Black or African American,2011,21,602921
Alabama,Male,Black or African American,2012,17,607513
Alabama,Male,Black or African American,2012,13,607513
Alabama,Male,Black or African American,2013,27,610554
Alabama,Male,Black or African American,2014,34,614609
Alabama,Male,Black or African American,2014,14,614609
Alabama,Male,Black or African American,2015,43,618441
Alabama,Male,Black or African American,2015,17,618441
Alabama,Male,Black or African American,2016,69,620706
Alabama,Male,Black or African American,2016,24,620706
Alabama,Male,Black or African American,2017,90,622795
Alabama,Male,Black or African American,2017,27,622795
Alabama,Male,Black or African American,2018,86,623614
Alabama,Male,Black or African American,2018,30,623614
Alabama,Male,White,1999,48,1570643
Alabama,Male,White,1999,17,1570643
Alabama,Male,White,1999,13,1570643
Alabama,Male,White,2000,66,1575039
Alabama,Male,White,2000,20,1575039
Alabama,Male,White,2000,10,1575039
Alabama,Male,White,2000,13,1575039
Alabama,Male,White,2001,79,1580087
Alabama,Male,White,2001,14,1580087
Alabama,Male,White,2001,16,1580087
Alabama,Male,White,2002,92,1583267
Alabama,Male,White,2002,20,1583267
Alabama,Male,White,2003,88,1590946
Alabama,Male,White,2003,12,1590946
Alabama,Male,White,2003,25,1590946
Alabama,Male,White,2004,124,1598272
Alabama,Male,White,2004,19,1598272
Alabama,Male,White,2004,10,1598272
Alabama,Male,White,2004,18,1598272
Alabama,Male,White,2005,129,1610721
Alabama,Male,White,2005,13,1610721
Alabama,Male,White,2005,25,1610721
Alabama,Male,White,2005,15,1610721
Alabama,Male,White,2006,168,1629110
Alabama,Male,White,2006,20,1629110
Alabama,Male,White,2006,25,1629110
Alabama,Male,White,2006,32,1629110
Alabama,Male,White,2007,222,1643115
Alabama,Male,White,2007,18,1643115
Alabama,Male,White,2007,21,1643115
Alabama,Male,White,2007,16,1643115
Alabama,Male,White,2008,247,1656414
Alabama,Male,White,2008,18,1656414
Alabama,Male,White,2008,39,1656414
Alabama,Male,White,2008,13,1656414
Alabama,Male,White,2009,271,1669087
Alabama,Male,White,2009,26,1669087
Alabama,Male,White,2009,16,1669087
Alabama,Male,White,2009,27,1669087
Alabama,Male,White,2010,243,1674127
Alabama,Male,White,2010,26,1674127
Alabama,Male,White,2010,15,1674127
Alabama,Male,White,2010,17,1674127
Alabama,Male,White,2011,252,1675994
Alabama,Male,White,2011,17,1675994
Alabama,Male,White,2011,10,1675994
Alabama,Male,White,2011,29,1675994
Alabama,Male,White,2012,265,1679209
Alabama,Male,White,2012,34,1679209
Alabama,Male,White,2012,14,1679209
Alabama,Male,White,2012,37,1679209
Alabama,Male,White,2013,277,1681773
Alabama,Male,White,2013,16,1681773
Alabama,Male,White,2013,15,1681773
Alabama,Male,White,2013,30,1681773
Alabama,Male,White,2014,327,1681161
Alabama,Male,White,2014,21,1681161
Alabama,Male,White,2014,12,1681161
Alabama,Male,White,2014,34,1681161
Alabama,Male,White,2015,348,1679105
Alabama,Male,White,2015,16,1679105
Alabama,Male,White,2015,13,1679105
Alabama,Male,White,2015,25,1679105
Alabama,Male,White,2016,346,1678546
Alabama,Male,White,2016,18,1678546
Alabama,Male,White,2016,11,1678546
Alabama,Male,White,2016,44,1678546
Alabama,Male,White,2017,398,1679250
Alabama,Male,White,2017,26,1679250
Alabama,Male,White,2017,55,1679250
Alabama,Male,White,2018,329,1681545
Alabama,Male,White,2018,22,1681545
Alabama,Male,White,2018,14,1681545
Alabama,Male,White,2018,45,1681545
Alaska,Female,American Indian or Alaska Native,2003,10,55083
Alaska,Female,American Indian or Alaska Native,2005,11,56543
Alaska,Female,American Indian or Alaska Native,2009,12,59034
Alaska,Female,American Indian or Alaska Native,2012,16,60903
Alaska,Female,American Indian or Alaska Native,2014,12,60800
Alaska,Female,American Indian or Alaska Native,2015,13,60937
Alaska,Female,American Indian or Alaska Native,2017,18,62964
Alaska,Female,American Indian or Alaska Native,2018,13,63303
Alaska,Female,White,2000,15,219857
Alaska,Female,White,2001,17,220808
Alaska,Female,White,2002,20,222980
Alaska,Female,White,2003,23,224714
Alaska,Female,White,2004,25,227747
Alaska,Female,White,2005,15,229332
Alaska,Female,White,2006,17,231903
Alaska,Female,White,2007,16,232706
