County,Year,Quarter,Medication_Assisted_Treatment,Beneficiaries,Status,Annotation,Annotation_Description,,
Statewide,2010,Q1,Buprenorphine,649,F,,,,
Statewide,2010,Q2,Buprenorphine,746,F,,,,
Statewide,2010,Q3,Buprenorphine,787,F,,,,
Statewide,2010,Q4,Buprenorphine,820,F,,,,
Statewide,2011,Q1,Buprenorphine,896,F,,,,
Statewide,2011,Q2,Buprenorphine,964,F,,,,
Statewide,2011,Q3,Buprenorphine,1057,F,,,,
Statewide,2011,Q4,Buprenorphine,1079,F,,,,
Statewide,2012,Q1,Buprenorphine,1153,F,,,,
Statewide,2012,Q2,Buprenorphine,1203,F,,,,
Statewide,2012,Q3,Buprenorphine,1256,F,,,,
Statewide,2012,Q4,Buprenorphine,1271,F,,,,
Statewide,2013,Q1,Buprenorphine,1285,F,,,,
Statewide,2013,Q2,Buprenorphine,1358,F,,,,
Statewide,2013,Q3,Buprenorphine,1330,F,,,,
Statewide,2013,Q4,Buprenorphine,1326,F,,,,
Statewide,2014,Q1,Buprenorphine,2111,F,,,,
Statewide,2014,Q2,Buprenorphine,2674,F,,,,
Statewide,2014,Q3,Buprenorphine,3120,F,,,,
Statewide,2014,Q4,Buprenorphine,3553,F,,,,
Statewide,2015,Q1,Buprenorphine,4346,F,,,,
Statewide,2015,Q2,Buprenorphine,5446,F,,,,
Statewide,2015,Q3,Buprenorphine,6409,F,,,,
Statewide,2015,Q4,Buprenorphine,6889,F,,,,
Statewide,2016,Q1,Buprenorphine,7520,F,,,,
Statewide,2016,Q2,Buprenorphine,8350,F,,,,
Statewide,2016,Q3,Buprenorphine,8811,F,,,,
Statewide,2016,Q4,Buprenorphine,10322,F,,,,
Statewide,2017,Q1,Buprenorphine,11421,F,,,,
Statewide,2017,Q2,Buprenorphine,12109,F,,,,
Statewide,2017,Q3,Buprenorphine,12592,F,,,,
Statewide,2017,Q4,Buprenorphine,13090,F,,,,
Statewide,2018,Q1,Buprenorphine,13864,F,,,,
Statewide,2018,Q2,Buprenorphine,14587,F,,,,
Statewide,2018,Q3,Buprenorphine,15043,F,,,,
Statewide,2018,Q4,Buprenorphine,15688,F,,,,
Statewide,2019,Q1,Buprenorphine,16548,F,,,,
Statewide,2019,Q2,Buprenorphine,17586,F,,,,
Statewide,2019,Q3,Buprenorphine,18122,F,,,,
Statewide,2019,Q4,Buprenorphine,19007,F,,,,
Statewide,2020,Q1,Buprenorphine,20377,P,,,,
Alameda,2010,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,,
Alameda,2010,Q2,Buprenorphine,13,F,,,,
Alameda,2010,Q3,Buprenorphine,18,F,,,,
Alameda,2010,Q4,Buprenorphine,17,F,,,,
Alameda,2011,Q1,Buprenorphine,18,F,,,,
Alameda,2011,Q2,Buprenorphine,15,F,,,,
Alameda,2011,Q3,Buprenorphine,17,F,,,,
Alameda,2011,Q4,Buprenorphine,15,F,,,,
Alameda,2012,Q1,Buprenorphine,19,F,,,,
Alameda,2012,Q2,Buprenorphine,27,F,,,,
Alameda,2012,Q3,Buprenorphine,31,F,,,,
Alameda,2012,Q4,Buprenorphine,37,F,,,,
Alameda,2013,Q1,Buprenorphine,43,F,,,,
Alameda,2013,Q2,Buprenorphine,35,F,,,,
Alameda,2013,Q3,Buprenorphine,30,F,,,,
Alameda,2013,Q4,Buprenorphine,36,F,,,,
Alameda,2014,Q1,Buprenorphine,64,F,,,,
Alameda,2014,Q2,Buprenorphine,65,F,,,,
Alameda,2014,Q3,Buprenorphine,81,F,,,,
Alameda,2014,Q4,Buprenorphine,83,F,,,,
Alameda,2015,Q1,Buprenorphine,88,F,,,,
Alameda,2015,Q2,Buprenorphine,100,F,,,,
Alameda,2015,Q3,Buprenorphine,117,F,,,,
Alameda,2015,Q4,Buprenorphine,127,F,,,,
Alameda,2016,Q1,Buprenorphine,133,F,,,,
Alameda,2016,Q2,Buprenorphine,158,F,,,,
Alameda,2016,Q3,Buprenorphine,166,F,,,,
Alameda,2016,Q4,Buprenorphine,179,F,,,,
Alameda,2017,Q1,Buprenorphine,228,F,,,,
Alameda,2017,Q2,Buprenorphine,264,F,,,,
Alameda,2017,Q3,Buprenorphine,280,F,,,,
Alameda,2017,Q4,Buprenorphine,305,F,,,,
Alameda,2018,Q1,Buprenorphine,362,F,,,,
Alameda,2018,Q2,Buprenorphine,410,F,,,,
Alameda,2018,Q3,Buprenorphine,467,F,,,,
Alameda,2018,Q4,Buprenorphine,546,F,,,,
Alameda,2019,Q1,Buprenorphine,561,F,,,,
Alameda,2019,Q2,Buprenorphine,655,F,,,,
Alameda,2019,Q3,Buprenorphine,633,F,,,,
Alameda,2019,Q4,Buprenorphine,679,F,,,,
Alameda,2020,Q1,Buprenorphine,740,P,,,,
Amador / Alpine,2010,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,,
Amador / Alpine,2010,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,,
Amador / Alpine,2010,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,,
Amador / Alpine,2010,Q4,Buprenorphine,11,F,,,,
Amador / Alpine,2011,Q1,Buprenorphine,11,F,,,,
Amador / Alpine,2011,Q2,Buprenorphine,11,F,,,,
Amador / Alpine,2011,Q3,Buprenorphine,12,F,,,,
Amador / Alpine,2011,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,,
Amador / Alpine,2012,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,,
Amador / Alpine,2012,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,,
Amador / Alpine,2012,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,,
Amador / Alpine,2012,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,,
Amador / Alpine,2013,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,,
Amador / Alpine,2013,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,,
Amador / Alpine,2013,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,,
Amador / Alpine,2013,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,,
Amador / Alpine,2014,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,,
Amador / Alpine,2014,Q2,Buprenorphine,13,F,,,,
Amador / Alpine,2014,Q3,Buprenorphine,16,F,,,,
Amador / Alpine,2014,Q4,Buprenorphine,15,F,,,,
Amador / Alpine,2015,Q1,Buprenorphine,21,F,,,,
Amador / Alpine,2015,Q2,Buprenorphine,25,F,,,,
Amador / Alpine,2015,Q3,Buprenorphine,23,F,,,,
Amador / Alpine,2015,Q4,Buprenorphine,24,F,,,,
Amador / Alpine,2016,Q1,Buprenorphine,31,F,,,,
Amador / Alpine,2016,Q2,Buprenorphine,33,F,,,,
Amador / Alpine,2016,Q3,Buprenorphine,33,F,,,,
